3K,3021,BKK,3885,SIN,3316,,0,320
3K,3021,DRW,3999,SIN,3316,,0,320
3K,3021,HAK,4120,SIN,3316,,0,320
3K,3021,HGH,3386,SIN,3316,,0,320
3K,3021,HKG,3077,SIN,3316,,0,320
3K,3021,HKT,3179,SIN,3316,,0,320
3K,3021,KUL,3304,SIN,3316,,0,320
3K,3021,MNL,2397,SIN,3316,,0,320
3K,3021,PEN,3308,SIN,3316,,0,320
3K,3021,PER,3351,SIN,3316,,0,320
3K,3021,PNH,3034,SIN,3316,,0,320
3K,3021,REP,3035,SIN,3316,,0,320
3K,3021,RGN,3239,SIN,3316,,0,320
3K,3021,SGN,3205,SIN,3316,,0,320
3K,3021,SIN,3316,BKK,3885,,0,320
3K,3021,SIN,3316,DRW,3999,,0,320
3K,3021,SIN,3316,HAK,4120,,0,320
3K,3021,SIN,3316,HGH,3386,,0,320
3K,3021,SIN,3316,HKG,3077,,0,320
3K,3021,SIN,3316,HKT,3179,,0,320
3K,3021,SIN,3316,KUL,3304,,0,320
3K,3021,SIN,3316,MNL,2397,,0,320
3K,3021,SIN,3316,PEN,3308,,0,320
3K,3021,SIN,3316,PER,3351,,0,320
3K,3021,SIN,3316,PNH,3034,,0,320
3K,3021,SIN,3316,REP,3035,,0,320
3K,3021,SIN,3316,RGN,3239,,0,320
3K,3021,SIN,3316,SGN,3205,,0,320
3K,3021,SIN,3316,SWA,4302,,0,320
3K,3021,SIN,3316,TPE,2276,,0,320
3K,3021,SWA,4302,SIN,3316,,0,320
3K,3021,TPE,2276,SIN,3316,,0,320
5J,1683,CEB,4206,SIN,3316,,0,320
5J,1683,CRK,4140,SIN,3316,,0,319
5J,1683,ILO,2429,SIN,3316,,0,319
5J,1683,MNL,2397,SIN,3316,,0,330 320
5J,1683,SIN,3316,CEB,4206,,0,320
5J,1683,SIN,3316,CRK,4140,,0,319
5J,1683,SIN,3316,ILO,2429,,0,319
5J,1683,SIN,3316,MNL,2397,,0,320 330
6E,2850,MAA,3144,SIN,3316,,0,320
6E,2850,SIN,3316,MAA,3144,,0,320
8L,2942,KWE,3394,SIN,3316,,0,321
8L,2942,SIN,3316,KWE,3394,,0,321
8M,3432,RGN,3239,SIN,3316,,0,320
8M,3432,SIN,3316,RGN,3239,,0,320
9C,15999,PVG,3406,SIN,3316,,0,320
